theta,phi,Pol.,S_11,S_12,S_21,S_22,S_31,S_41,Qsca,Qbk,Qpol,shape,size_param,radius,wavelength
0.0,0.0,0.79111,0.051401,-0.040663,-0.04066,0.0514,0.0,0.0,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
5.0,0.0,0.79253,0.05135,-0.040696,-0.0407,0.05135,1.962e-11,-1.613e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
10.0,0.0,0.79676,0.051188,-0.040784,-0.04078,0.05119,1.671e-12,-2.611e-12,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
15.0,0.0,0.80371,0.050884,-0.040896,-0.0409,0.05088,1.113e-10,-5.271e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
20.0,0.0,0.81324,0.050393,-0.040982,-0.04098,0.05039,-4.372e-11,3.63e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
25.0,0.0,0.82514,0.049654,-0.040972,-0.04097,0.04965,9.066e-11,2.639e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
30.0,0.0,0.83914,0.0486,-0.040782,-0.04078,0.0486,4.674e-11,-1.966e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
35.0,0.0,0.85488,0.047163,-0.040319,-0.04032,0.04716,7.001e-11,-1.163e-10,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
40.0,0.0,0.87198,0.045285,-0.039488,-0.03949,0.04529,1.576e-10,2.492e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
45.0,0.0,0.88995,0.042926,-0.038202,-0.0382,0.04293,1.29e-10,-7.172e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
50.0,0.0,0.90826,0.040074,-0.036397,-0.0364,0.04007,7.228e-11,1.683e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
55.0,0.0,0.92636,0.036752,-0.034045,-0.03405,0.03675,2.48e-10,-7.604e-13,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
60.0,0.0,0.94364,0.033022,-0.031161,-0.03116,0.03302,5.487e-11,-2.433e-10,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
65.0,0.0,0.9595,0.028987,-0.027813,-0.02781,0.02899,9.513e-11,-5.142e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
70.0,0.0,0.97336,0.024779,-0.024119,-0.02412,0.02478,8.43e-11,1.038e-10,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
75.0,0.0,0.98471,0.020552,-0.020238,-0.02024,0.02055,2.232e-11,1.04e-10,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
80.0,0.0,0.99312,0.016469,-0.016356,-0.01636,0.01647,1.23e-10,5.629e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
85.0,0.0,0.99827,0.012682,-0.01266,-0.01266,0.01268,1.725e-10,-4.219e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
90.0,0.0,1.0,0.0093157,-0.0093157,-0.009316,0.009316,-3.787e-11,-1.028e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
95.0,0.0,0.9983,0.006462,-0.006451,-0.006451,0.006462,1.455e-10,4.944e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
100.0,0.0,0.99337,0.0041672,-0.0041395,-0.00414,0.004167,6.831e-11,3.902e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
105.0,0.0,0.98563,0.002434,-0.0023991,-0.002399,0.002434,2.919e-11,1.647e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
110.0,0.0,0.97591,0.0012265,-0.0011969,-0.001197,0.001226,2.132e-11,1.453e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
115.0,0.0,0.9662,0.00047842,-0.00046225,-0.0004623,0.0004784,1.871e-11,1.378e-11,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
120.0,0.0,0.96573,0.00010559,-0.00010197,-0.000102,0.0001056,-4.176e-13,3.963e-12,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
125.0,0.0,0.96941,1.6959e-05,-1.644e-05,-1.644e-05,1.696e-05,1.332e-12,5.48e-13,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
130.0,0.0,0.89901,0.00012494,-0.00011232,-0.0001123,0.0001249,-2.495e-12,7.341e-14,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
135.0,0.0,0.8819,0.00035269,-0.00031103,-0.000311,0.0003527,-5.606e-12,2.676e-12,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
140.0,0.0,0.8658,0.0006383,-0.00055264,-0.0005526,0.0006383,-7.978e-13,-8.79e-13,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
145.0,0.0,0.85032,0.00093606,-0.00079595,-0.0007959,0.0009361,-1.328e-13,1.437e-12,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
150.0,0.0,0.83597,0.0012154,-0.0010161,-0.001016,0.001215,-3.508e-12,7.105e-13,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
155.0,0.0,0.8232,0.0014585,-0.0012006,-0.001201,0.001458,-4.579e-12,-3.131e-12,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
160.0,0.0,0.81236,0.0016567,-0.0013458,-0.001346,0.001657,-4.155e-12,-2.664e-12,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
165.0,0.0,0.80369,0.0018078,-0.0014529,-0.001453,0.001808,-6.448e-13,-1.868e-12,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
170.0,0.0,0.79737,0.0019131,-0.0015255,-0.001525,0.001913,-9.949e-13,2.378e-13,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
175.0,0.0,0.79353,0.0019749,-0.0015672,-0.001567,0.001975,-7.042e-13,-4.319e-13,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
180.0,0.0,0.79225,0.0019953,-0.0015807,-0.001581,0.001995,6.979e-19,6.809e-19,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
185.0,0.0,0.79353,0.0019749,-0.0015672,-0.001567,0.001975,4.375e-13,4.694e-14,0.070473,0.0010765,-0.22311,RCTGLPRSM,0.8193,0.064,0.4908
