>GEOMETRY   sphere; AX,AY,AZ= 0.4466 0.4466 0.4466
     41472 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 0.00000 0.00000 0.00000 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     1  1  16  19 1 1 1
     2  1  16  20 1 1 1
     3  1  16  21 1 1 1
     4  1  16  22 1 1 1
     5  1  16  23 1 1 1
     6  1  16  24 1 1 1
     7  1  17  17 1 1 1
     8  1  17  18 1 1 1
     9  1  17  19 1 1 1
     10  1  17  20 1 1 1
     11  1  17  21 1 1 1
     12  1  17  22 1 1 1
     13  1  17  23 1 1 1
     14  1  17  24 1 1 1
     15  1  17  25 1 1 1
     16  1  17  26 1 1 1
     17  1  18  17 1 1 1
     18  1  18  18 1 1 1
     19  1  18  19 1 1 1
     20  1  18  20 1 1 1
     21  1  18  21 1 1 1
     22  1  18  22 1 1 1
     23  1  18  23 1 1 1
     24  1  18  24 1 1 1
     25  1  18  25 1 1 1
     26  1  18  26 1 1 1
     27  1  19  16 1 1 1
     28  1  19  17 1 1 1
     29  1  19  18 1 1 1
     30  1  19  19 1 1 1
     31  1  19  20 1 1 1
     32  1  19  21 1 1 1
     33  1  19  22 1 1 1
     34  1  19  23 1 1 1
     35  1  19  24 1 1 1
     36  1  19  25 1 1 1
     37  1  19  26 1 1 1
     38  1  19  28 1 1 1
     39  1  20  16 1 1 1
     40  1  20  17 1 1 1
     41  1  20  18 1 1 1
     42  1  20  19 1 1 1
     43  1  20  20 1 1 1
     44  1  20  21 1 1 1
     45  1  20  22 1 1 1
     46  1  20  23 1 1 1
     47  1  20  24 1 1 1
     48  1  20  25 1 1 1
     49  1  20  26 1 1 1
     50  1  20  28 1 1 1
     51  1  21  16 1 1 1
     52  1  21  17 1 1 1
     53  1  21  18 1 1 1
     54  1  21  19 1 1 1
     55  1  21  20 1 1 1
     56  1  21  21 1 1 1
     57  1  21  22 1 1 1
     58  1  21  23 1 1 1
     59  1  21  24 1 1 1
     60  1  21  25 1 1 1
     61  1  21  26 1 1 1
     62  1  21  28 1 1 1
     63  1  22  16 1 1 1
     64  1  22  17 1 1 1
     65  1  22  18 1 1 1
     66  1  22  19 1 1 1
     67  1  22  20 1 1 1
     68  1  22  21 1 1 1
     69  1  22  22 1 1 1
     70  1  22  23 1 1 1
     71  1  22  24 1 1 1
     72  1  22  25 1 1 1
     73  1  22  26 1 1 1
     74  1  22  28 1 1 1
     75  1  23  16 1 1 1
     76  1  23  17 1 1 1
     77  1  23  18 1 1 1
     78  1  23  19 1 1 1
     79  1  23  20 1 1 1
     80  1  23  21 1 1 1
     81  1  23  22 1 1 1
     82  1  23  23 1 1 1
     83  1  23  24 1 1 1
     84  1  23  25 1 1 1
     85  1  23  26 1 1 1
     86  1  23  28 1 1 1
     87  1  24  16 1 1 1
     88  1  24  17 1 1 1
     89  1  24  18 1 1 1
     90  1  24  19 1 1 1
     91  1  24  20 1 1 1
     92  1  24  21 1 1 1
     93  1  24  22 1 1 1
     94  1  24  23 1 1 1
     95  1  24  24 1 1 1
     96  1  24  25 1 1 1
     97  1  24  26 1 1 1
     98  1  24  28 1 1 1
     99  1  25  17 1 1 1
     100  1  25  18 1 1 1
     101  1  25  19 1 1 1
     102  1  25  20 1 1 1
     103  1  25  21 1 1 1
     104  1  25  22 1 1 1
     105  1  25  23 1 1 1
     106  1  25  24 1 1 1
     107  1  25  25 1 1 1
     108  1  25  26 1 1 1
     109  1  26  17 1 1 1
     110  1  26  18 1 1 1
     111  1  26  19 1 1 1
     112  1  26  20 1 1 1
     113  1  26  21 1 1 1
     114  1  26  22 1 1 1
     115  1  26  23 1 1 1
     116  1  26  24 1 1 1
     117  1  26  25 1 1 1
     118  1  26  26 1 1 1
     119  1  28  19 1 1 1
     120  1  28  20 1 1 1
     121  1  28  21 1 1 1
     122  1  28  22 1 1 1
     123  1  28  23 1 1 1
     124  1  28  24 1 1 1
     125  2  13  19 1 1 1
     126  2  13  20 1 1 1
     127  2  13  21 1 1 1
     128  2  13  22 1 1 1
     129  2  13  23 1 1 1
     130  2  13  24 1 1 1
     131  2  14  17 1 1 1
     132  2  14  18 1 1 1
     133  2  14  19 1 1 1
     134  2  14  20 1 1 1
     135  2  14  21 1 1 1
     136  2  14  22 1 1 1
     137  2  14  23 1 1 1
     138  2  14  24 1 1 1
     139  2  14  25 1 1 1
     140  2  14  26 1 1 1
     141  2  15  16 1 1 1
     142  2  15  17 1 1 1
     143  2  15  18 1 1 1
     144  2  15  19 1 1 1
     145  2  15  20 1 1 1
     146  2  15  21 1 1 1
     147  2  15  22 1 1 1
     148  2  15  23 1 1 1
     149  2  15  24 1 1 1
     150  2  15  25 1 1 1
     151  2  15  26 1 1 1
     152  2  15  28 1 1 1
     153  2  16  15 1 1 1
     154  2  16  16 1 1 1
     155  2  16  17 1 1 1
     156  2  16  18 1 1 1
     157  2  16  19 1 1 1
     158  2  16  20 1 1 1
     159  2  16  21 1 1 1
     160  2  16  22 1 1 1
     161  2  16  23 1 1 1
     162  2  16  24 1 1 1
     163  2  16  25 1 1 1
     164  2  16  26 1 1 1
     165  2  16  28 1 1 1
     166  2  16  29 1 1 1
     167  2  17  14 1 1 1
     168  2  17  15 1 1 1
     169  2  17  16 1 1 1
     170  2  17  17 1 1 1
     171  2  17  18 1 1 1
     172  2  17  19 1 1 1
     173  2  17  20 1 1 1
     174  2  17  21 1 1 1
     175  2  17  22 1 1 1
     176  2  17  23 1 1 1
     177  2  17  24 1 1 1
     178  2  17  25 1 1 1
     179  2  17  26 1 1 1
     180  2  17  28 1 1 1
     181  2  17  29 1 1 1
