>GEOMETRY   sphere; AX,AY,AZ= 0.3474 0.3474 0.3474
     18656 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -0.00000 -0.00000 -0.00000 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     1  1  11  16 1 1 1
     2  1  11  17 1 1 1
     3  1  12  14 1 1 1
     4  1  12  15 1 1 1
     5  1  12  16 1 1 1
     6  1  12  17 1 1 1
     7  1  12  18 1 1 1
     8  1  12  19 1 1 1
     9  1  13  13 1 1 1
     10  1  13  14 1 1 1
     11  1  13  15 1 1 1
     12  1  13  16 1 1 1
     13  1  13  17 1 1 1
     14  1  13  18 1 1 1
     15  1  13  19 1 1 1
     16  1  13  21 1 1 1
     17  1  14  12 1 1 1
     18  1  14  13 1 1 1
     19  1  14  14 1 1 1
     20  1  14  15 1 1 1
     21  1  14  16 1 1 1
     22  1  14  17 1 1 1
     23  1  14  18 1 1 1
     24  1  14  19 1 1 1
     25  1  14  21 1 1 1
     26  1  14  22 1 1 1
     27  1  15  12 1 1 1
     28  1  15  13 1 1 1
     29  1  15  14 1 1 1
     30  1  15  15 1 1 1
     31  1  15  16 1 1 1
     32  1  15  17 1 1 1
     33  1  15  18 1 1 1
     34  1  15  19 1 1 1
     35  1  15  21 1 1 1
     36  1  15  22 1 1 1
     37  1  16  11 1 1 1
     38  1  16  12 1 1 1
     39  1  16  13 1 1 1
     40  1  16  14 1 1 1
     41  1  16  15 1 1 1
     42  1  16  16 1 1 1
     43  1  16  17 1 1 1
     44  1  16  18 1 1 1
     45  1  16  19 1 1 1
     46  1  16  21 1 1 1
     47  1  16  22 1 1 1
     48  1  16  23 1 1 1
     49  1  17  11 1 1 1
     50  1  17  12 1 1 1
     51  1  17  13 1 1 1
     52  1  17  14 1 1 1
     53  1  17  15 1 1 1
     54  1  17  16 1 1 1
     55  1  17  17 1 1 1
     56  1  17  18 1 1 1
     57  1  17  19 1 1 1
     58  1  17  21 1 1 1
     59  1  17  22 1 1 1
     60  1  17  23 1 1 1
     61  1  18  12 1 1 1
     62  1  18  13 1 1 1
     63  1  18  14 1 1 1
     64  1  18  15 1 1 1
     65  1  18  16 1 1 1
     66  1  18  17 1 1 1
     67  1  18  18 1 1 1
     68  1  18  19 1 1 1
     69  1  18  21 1 1 1
     70  1  18  22 1 1 1
     71  1  19  12 1 1 1
     72  1  19  13 1 1 1
     73  1  19  14 1 1 1
     74  1  19  15 1 1 1
     75  1  19  16 1 1 1
     76  1  19  17 1 1 1
     77  1  19  18 1 1 1
     78  1  19  19 1 1 1
     79  1  19  21 1 1 1
     80  1  19  22 1 1 1
     81  1  21  13 1 1 1
     82  1  21  14 1 1 1
     83  1  21  15 1 1 1
     84  1  21  16 1 1 1
     85  1  21  17 1 1 1
     86  1  21  18 1 1 1
     87  1  21  19 1 1 1
     88  1  21  21 1 1 1
     89  1  22  14 1 1 1
     90  1  22  15 1 1 1
     91  1  22  16 1 1 1
     92  1  22  17 1 1 1
     93  1  22  18 1 1 1
     94  1  22  19 1 1 1
     95  1  23  16 1 1 1
     96  1  23  17 1 1 1
     97  2  9  15 1 1 1
     98  2  9  16 1 1 1
     99  2  9  17 1 1 1
     100  2  9  18 1 1 1
     101  2  10  13 1 1 1
     102  2  10  14 1 1 1
     103  2  10  15 1 1 1
     104  2  10  16 1 1 1
     105  2  10  17 1 1 1
     106  2  10  18 1 1 1
     107  2  10  19 1 1 1
     108  2  10  21 1 1 1
     109  2  11  11 1 1 1
     110  2  11  12 1 1 1
     111  2  11  13 1 1 1
     112  2  11  14 1 1 1
     113  2  11  15 1 1 1
     114  2  11  16 1 1 1
     115  2  11  17 1 1 1
     116  2  11  18 1 1 1
     117  2  11  19 1 1 1
     118  2  11  21 1 1 1
     119  2  11  22 1 1 1
     120  2  11  23 1 1 1
     121  2  12  11 1 1 1
     122  2  12  12 1 1 1
     123  2  12  13 1 1 1
     124  2  12  14 1 1 1
     125  2  12  15 1 1 1
     126  2  12  16 1 1 1
     127  2  12  17 1 1 1
     128  2  12  18 1 1 1
     129  2  12  19 1 1 1
     130  2  12  21 1 1 1
     131  2  12  22 1 1 1
     132  2  12  23 1 1 1
     133  2  13  10 1 1 1
     134  2  13  11 1 1 1
     135  2  13  12 1 1 1
     136  2  13  13 1 1 1
     137  2  13  14 1 1 1
     138  2  13  15 1 1 1
     139  2  13  16 1 1 1
     140  2  13  17 1 1 1
     141  2  13  18 1 1 1
     142  2  13  19 1 1 1
     143  2  13  21 1 1 1
     144  2  13  22 1 1 1
     145  2  13  23 1 1 1
     146  2  13  24 1 1 1
     147  2  14  10 1 1 1
     148  2  14  11 1 1 1
     149  2  14  12 1 1 1
     150  2  14  13 1 1 1
     151  2  14  14 1 1 1
     152  2  14  15 1 1 1
     153  2  14  16 1 1 1
     154  2  14  17 1 1 1
     155  2  14  18 1 1 1
     156  2  14  19 1 1 1
     157  2  14  21 1 1 1
     158  2  14  22 1 1 1
     159  2  14  23 1 1 1
     160  2  14  24 1 1 1
     161  2  15  9 1 1 1
     162  2  15  10 1 1 1
     163  2  15  11 1 1 1
     164  2  15  12 1 1 1
     165  2  15  13 1 1 1
     166  2  15  14 1 1 1
     167  2  15  15 1 1 1
     168  2  15  16 1 1 1
     169  2  15  17 1 1 1
     170  2  15  18 1 1 1
     171  2  15  19 1 1 1
     172  2  15  21 1 1 1
     173  2  15  22 1 1 1
     174  2  15  23 1 1 1
     175  2  15  24 1 1 1
     176  2  15  25 1 1 1
     177  2  16  9 1 1 1
     178  2  16  10 1 1 1
     179  2  16  11 1 1 1
     180  2  16  12 1 1 1
     181  2  16  13 1 1 1
     182  2  16  14 1 1 1
     183  2  16  15 1 1 1
     184  2  16  16 1 1 1
     185  2  16  17 1 1 1
     186  2  16  18 1 1 1
     187  2  16  19 1 1 1
     188  2  16  21 1 1 1
     189  2  16  22 1 1 1
     190  2  16  23 1 1 1
     191  2  16  24 1 1 1
     192  2  16  25 1 1 1
     193  2  17  9 1 1 1
     194  2  17  10 1 1 1
     195  2  17  11 1 1 1
     196  2  17  12 1 1 1
     197  2  17  13 1 1 1
     198  2  17  14 1 1 1
     199  2  17  15 1 1 1
     200  2  17  16 1 1 1
     201  2  17  17 1 1 1
     202  2  17  18 1 1 1
     203  2  17  19 1 1 1
     204  2  17  21 1 1 1
     205  2  17  22 1 1 1
     206  2  17  23 1 1 1
     207  2  17  24 1 1 1
     208  2  17  25 1 1 1
     209  2  18  9 1 1 1
     210  2  18  10 1 1 1
     211  2  18  11 1 1 1
     212  2  18  12 1 1 1
     213  2  18  13 1 1 1
     214  2  18  14 1 1 1
     215  2  18  15 1 1 1
     216  2  18  16 1 1 1
     217  2  18  17 1 1 1
     218  2  18  18 1 1 1
     219  2  18  19 1 1 1
     220  2  18  21 1 1 1
     221  2  18  22 1 1 1
     222  2  18  23 1 1 1
     223  2  18  24 1 1 1
     224  2  18  25 1 1 1
     225  2  19  10 1 1 1
     226  2  19  11 1 1 1
     227  2  19  12 1 1 1
     228  2  19  13 1 1 1
     229  2  19  14 1 1 1
     230  2  19  15 1 1 1
     231  2  19  16 1 1 1
     232  2  19  17 1 1 1
     233  2  19  18 1 1 1
     234  2  19  19 1 1 1
     235  2  19  21 1 1 1
     236  2  19  22 1 1 1
     237  2  19  23 1 1 1
     238  2  19  24 1 1 1
     239  2  21  10 1 1 1
     240  2  21  11 1 1 1
     241  2  21  12 1 1 1
     242  2  21  13 1 1 1
