 >REASHP: option FROM_FILE
        50 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.02000  -0.00000  -0.04500 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1    1    1    1 1 1 1
      2    1    1    2 1 1 1
      3    1    1    3 1 1 1
      4    1    1    4 1 1 1
      5    1    1    5 1 1 1
      6    1    1    6 1 1 1
      7    1    1    7 1 1 1
      8    1    1    8 1 1 1
      9    1    1    9 1 1 1
     10    1    1   10 1 1 1
     11    2    1    1 1 1 1
     12    2    1    2 1 1 1
     13    2    1    3 1 1 1
     14    2    1    4 1 1 1
     15    2    1    5 1 1 1
     16    2    1    6 1 1 1
     17    2    1    7 1 1 1
     18    2    1    8 1 1 1
     19    2    1    9 1 1 1
     20    2    1   10 1 1 1
     21    3    1    1 1 1 1
     22    3    1    2 1 1 1
     23    3    1    3 1 1 1
     24    3    1    4 1 1 1
     25    3    1    5 1 1 1
     26    3    1    6 1 1 1
     27    3    1    7 1 1 1
     28    3    1    8 1 1 1
     29    3    1    9 1 1 1
     30    3    1   10 1 1 1
     31    4    1    1 1 1 1
     32    4    1    2 1 1 1
     33    4    1    3 1 1 1
     34    4    1    4 1 1 1
     35    4    1    5 1 1 1
     36    4    1    6 1 1 1
     37    4    1    7 1 1 1
     38    4    1    8 1 1 1
     39    4    1    9 1 1 1
     40    4    1   10 1 1 1
     41    5    1    1 1 1 1
     42    5    1    2 1 1 1
     43    5    1    3 1 1 1
     44    5    1    4 1 1 1
     45    5    1    5 1 1 1
     46    5    1    6 1 1 1
     47    5    1    7 1 1 1
     48    5    1    8 1 1 1
     49    5    1    9 1 1 1
     50    5    1   10 1 1 1
