 >REASHP: option FROM_FILE
      4776 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.00000   0.00000   0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1    1    7    8 1 1 1
      2    1    7    9 1 1 1
      3    1    7   10 1 1 1
      4    1    7   11 1 1 1
      5    1    7   12 1 1 1
      6    1    7   13 1 1 1
      7    1    8    7 1 1 1
      8    1    8    8 1 1 1
      9    1    8    9 1 1 1
     10    1    8   10 1 1 1
     11    1    8   11 1 1 1
     12    1    8   12 1 1 1
     13    1    8   13 1 1 1
     14    1    8   14 1 1 1
     15    1    9    7 1 1 1
     16    1    9    8 1 1 1
     17    1    9    9 1 1 1
     18    1    9   10 1 1 1
     19    1    9   11 1 1 1
     20    1    9   12 1 1 1
     21    1    9   13 1 1 1
     22    1    9   14 1 1 1
     23    1   10    7 1 1 1
     24    1   10    8 1 1 1
     25    1   10    9 1 1 1
     26    1   10   10 1 1 1
     27    1   10   11 1 1 1
     28    1   10   12 1 1 1
     29    1   10   13 1 1 1
     30    1   10   14 1 1 1
     31    1   11    7 1 1 1
     32    1   11    8 1 1 1
     33    1   11    9 1 1 1
     34    1   11   10 1 1 1
     35    1   11   11 1 1 1
     36    1   11   12 1 1 1
     37    1   11   13 1 1 1
     38    1   11   14 1 1 1
     39    1   12    7 1 1 1
     40    1   12    8 1 1 1
     41    1   12    9 1 1 1
     42    1   12   10 1 1 1
     43    1   12   11 1 1 1
     44    1   12   12 1 1 1
     45    1   12   13 1 1 1
     46    1   12   14 1 1 1
     47    1   13    7 1 1 1
     48    1   13    8 1 1 1
     49    1   13    9 1 1 1
     50    1   13   10 1 1 1
     51    1   13   11 1 1 1
     52    1   13   12 1 1 1
     53    1   13   13 1 1 1
     54    1   13   14 1 1 1
     55    1   14    8 1 1 1
     56    1   14    9 1 1 1
     57    1   14   10 1 1 1
     58    1   14   11 1 1 1
     59    1   14   12 1 1 1
     60    1   14   13 1 1 1
     61    2    5    8 1 1 1
     62    2    5    9 1 1 1
     63    2    5   10 1 1 1
     64    2    5   11 1 1 1
     65    2    5   12 1 1 1
     66    2    5   13 1 1 1
     67    2    6    7 1 1 1
     68    2    6    8 1 1 1
     69    2    6    9 1 1 1
     70    2    6   10 1 1 1
     71    2    6   11 1 1 1
     72    2    6   12 1 1 1
     73    2    6   13 1 1 1
     74    2    6   14 1 1 1
     75    2    7    6 1 1 1
     76    2    7    7 1 1 1
     77    2    7    8 1 1 1
     78    2    7    9 1 1 1
     79    2    7   10 1 1 1
     80    2    7   11 1 1 1
     81    2    7   12 1 1 1
     82    2    7   13 1 1 1
     83    2    7   14 1 1 1
     84    2    7   15 1 1 1
     85    2    8    5 1 1 1
     86    2    8    6 1 1 1
     87    2    8    7 1 1 1
     88    2    8    8 1 1 1
     89    2    8    9 1 1 1
     90    2    8   10 1 1 1
     91    2    8   11 1 1 1
     92    2    8   12 1 1 1
     93    2    8   13 1 1 1
     94    2    8   14 1 1 1
     95    2    8   15 1 1 1
     96    2    8   16 1 1 1
     97    2    9    5 1 1 1
     98    2    9    6 1 1 1
     99    2    9    7 1 1 1
    100    2    9    8 1 1 1
    101    2    9    9 1 1 1
    102    2    9   10 1 1 1
    103    2    9   11 1 1 1
    104    2    9   12 1 1 1
    105    2    9   13 1 1 1
    106    2    9   14 1 1 1
    107    2    9   15 1 1 1
    108    2    9   16 1 1 1
    109    2   10    5 1 1 1
    110    2   10    6 1 1 1
    111    2   10    7 1 1 1
    112    2   10    8 1 1 1
    113    2   10    9 1 1 1
    114    2   10   10 1 1 1
    115    2   10   11 1 1 1
    116    2   10   12 1 1 1
    117    2   10   13 1 1 1
    118    2   10   14 1 1 1
    119    2   10   15 1 1 1
    120    2   10   16 1 1 1
    121    2   11    5 1 1 1
    122    2   11    6 1 1 1
    123    2   11    7 1 1 1
    124    2   11    8 1 1 1
    125    2   11    9 1 1 1
    126    2   11   10 1 1 1
    127    2   11   11 1 1 1
    128    2   11   12 1 1 1
    129    2   11   13 1 1 1
    130    2   11   14 1 1 1
    131    2   11   15 1 1 1
    132    2   11   16 1 1 1
    133    2   12    5 1 1 1
    134    2   12    6 1 1 1
    135    2   12    7 1 1 1
    136    2   12    8 1 1 1
    137    2   12    9 1 1 1
    138    2   12   10 1 1 1
    139    2   12   11 1 1 1
    140    2   12   12 1 1 1
    141    2   12   13 1 1 1
    142    2   12   14 1 1 1
    143    2   12   15 1 1 1
    144    2   12   16 1 1 1
    145    2   13    5 1 1 1
    146    2   13    6 1 1 1
    147    2   13    7 1 1 1
    148    2   13    8 1 1 1
    149    2   13    9 1 1 1
    150    2   13   10 1 1 1
    151    2   13   11 1 1 1
    152    2   13   12 1 1 1
    153    2   13   13 1 1 1
    154    2   13   14 1 1 1
    155    2   13   15 1 1 1
    156    2   13   16 1 1 1
    157    2   14    6 1 1 1
    158    2   14    7 1 1 1
    159    2   14    8 1 1 1
    160    2   14    9 1 1 1
    161    2   14   10 1 1 1
    162    2   14   11 1 1 1
    163    2   14   12 1 1 1
    164    2   14   13 1 1 1
    165    2   14   14 1 1 1
    166    2   14   15 1 1 1
    167    2   15    7 1 1 1
    168    2   15    8 1 1 1
    169    2   15    9 1 1 1
    170    2   15   10 1 1 1
    171    2   15   11 1 1 1
    172    2   15   12 1 1 1
    173    2   15   13 1 1 1
    174    2   15   14 1 1 1
    175    2   16    8 1 1 1
    176    2   16    9 1 1 1
    177    2   16   10 1 1 1
    178    2   16   11 1 1 1
    179    2   16   12 1 1 1
    180    2   16   13 1 1 1
    181    3    4    8 1 1 1
    182    3    4    9 1 1 1
    183    3    4   10 1 1 1
    184    3    4   11 1 1 1
    185    3    4   12 1 1 1
    186    3    4   13 1 1 1
    187    3    5    6 1 1 1
    188    3    5    7 1 1 1
    189    3    5    8 1 1 1
    190    3    5    9 1 1 1
    191    3    5   10 1 1 1
    192    3    5   11 1 1 1
    193    3    5   12 1 1 1
    194    3    5   13 1 1 1
    195    3    5   14 1 1 1
    196    3    5   15 1 1 1
    197    3    6    5 1 1 1
    198    3    6    6 1 1 1
    199    3    6    7 1 1 1
    200    3    6    8 1 1 1
    201    3    6    9 1 1 1
    202    3    6   10 1 1 1
    203    3    6   11 1 1 1
    204    3    6   12 1 1 1
    205    3    6   13 1 1 1
    206    3    6   14 1 1 1
    207    3    6   15 1 1 1
    208    3    6   16 1 1 1
    209    3    7    5 1 1 1
    210    3    7    6 1 1 1
    211    3    7    7 1 1 1
    212    3    7    8 1 1 1
    213    3    7    9 1 1 1
    214    3    7   10 1 1 1
    215    3    7   11 1 1 1
    216    3    7   12 1 1 1
    217    3    7   13 1 1 1
    218    3    7   14 1 1 1
    219    3    7   15 1 1 1
    220    3    7   16 1 1 1
    221    3    8    4 1 1 1
    222    3    8    5 1 1 1
    223    3    8    6 1 1 1
    224    3    8    7 1 1 1
    225    3    8    8 1 1 1
    226    3    8    9 1 1 1
    227    3    8   10 1 1 1
    228    3    8   11 1 1 1
    229    3    8   12 1 1 1
    230    3    8   13 1 1 1
    231    3    8   14 1 1 1
    232    3    8   15 1 1 1
    233    3    8   16 1 1 1
    234    3    8   17 1 1 1
    235    3    9    4 1 1 1
    236    3    9    5 1 1 1
    237    3    9    6 1 1 1
    238    3    9    7 1 1 1
    239    3    9    8 1 1 1
    240    3    9    9 1 1 1
    241    3    9   10 1 1 1
    242    3    9   11 1 1 1
    243    3    9   12 1 1 1
    244    3    9   13 1 1 1
    245    3    9   14 1 1 1
    246    3    9   15 1 1 1
    247    3    9   16 1 1 1
    248    3    9   17 1 1 1
    249    3   10    4 1 1 1
    250    3   10    5 1 1 1
    251    3   10    6 1 1 1
    252    3   10    7 1 1 1
    253    3   10    8 1 1 1
    254    3   10    9 1 1 1
    255    3   10   10 1 1 1
    256    3   10   11 1 1 1
    257    3   10   12 1 1 1
    258    3   10   13 1 1 1
    259    3   10   14 1 1 1
    260    3   10   15 1 1 1
    261    3   10   16 1 1 1
    262    3   10   17 1 1 1
    263    3   11    4 1 1 1
    264    3   11    5 1 1 1
    265    3   11    6 1 1 1
    266    3   11    7 1 1 1
    267    3   11    8 1 1 1
    268    3   11    9 1 1 1
    269    3   11   10 1 1 1
    270    3   11   11 1 1 1
    271    3   11   12 1 1 1
    272    3   11   13 1 1 1
    273    3   11   14 1 1 1
    274    3   11   15 1 1 1
    275    3   11   16 1 1 1
    276    3   11   17 1 1 1
    277    3   12    4 1 1 1
    278    3   12    5 1 1 1
    279    3   12    6 1 1 1
    280    3   12    7 1 1 1
    281    3   12    8 1 1 1
    282    3   12    9 1 1 1
    283    3   12   10 1 1 1
    284    3   12   11 1 1 1
    285    3   12   12 1 1 1
    286    3   12   13 1 1 1
    287    3   12   14 1 1 1
    288    3   12   15 1 1 1
    289    3   12   16 1 1 1
    290    3   12   17 1 1 1
    291    3   13    4 1 1 1
    292    3   13    5 1 1 1
    293    3   13    6 1 1 1
    294    3   13    7 1 1 1
    295    3   13    8 1 1 1
    296    3   13    9 1 1 1
    297    3   13   10 1 1 1
    298    3   13   11 1 1 1
    299    3   13   12 1 1 1
    300    3   13   13 1 1 1
    301    3   13   14 1 1 1
    302    3   13   15 1 1 1
    303    3   13   16 1 1 1
    304    3   13   17 1 1 1
    305    3   14    5 1 1 1
    306    3   14    6 1 1 1
    307    3   14    7 1 1 1
    308    3   14    8 1 1 1
    309    3   14    9 1 1 1
    310    3   14   10 1 1 1
    311    3   14   11 1 1 1
    312    3   14   12 1 1 1
    313    3   14   13 1 1 1
    314    3   14   14 1 1 1
    315    3   14   15 1 1 1
    316    3   14   16 1 1 1
    317    3   15    5 1 1 1
    318    3   15    6 1 1 1
    319    3   15    7 1 1 1
    320    3   15    8 1 1 1
    321    3   15    9 1 1 1
    322    3   15   10 1 1 1
    323    3   15   11 1 1 1
    324    3   15   12 1 1 1
    325    3   15   13 1 1 1
    326    3   15   14 1 1 1
    327    3   15   15 1 1 1
    328    3   15   16 1 1 1
    329    3   16    6 1 1 1
    330    3   16    7 1 1 1
    331    3   16    8 1 1 1
    332    3   16    9 1 1 1
    333    3   16   10 1 1 1
    334    3   16   11 1 1 1
    335    3   16   12 1 1 1
    336    3   16   13 1 1 1
    337    3   16   14 1 1 1
    338    3   16   15 1 1 1
    339    3   17    8 1 1 1
    340    3   17    9 1 1 1
    341    3   17   10 1 1 1
    342    3   17   11 1 1 1
    343    3   17   12 1 1 1
    344    3   17   13 1 1 1
    345    4    3    8 1 1 1
    346    4    3    9 1 1 1
    347    4    3   10 1 1 1
    348    4    3   11 1 1 1
    349    4    3   12 1 1 1
    350    4    3   13 1 1 1
