theta,phi,Pol.,S_11,S_12,S_21,S_22,S_31,S_41,Qsca,Qbk,Qpol,shape,size_param,radius,wavelength
0.0,0.0,0.01603,18.613,-0.29827,-0.2983,18.61,4.695e-08,-1.504e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
5.0,0.0,0.01827,18.397,-0.33619,-0.3362,18.4,5.139e-08,5.874e-09,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
10.0,0.0,0.02506,17.766,-0.44518,-0.4452,17.77,-2.549e-07,2.612e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
15.0,0.0,0.0365,16.761,-0.61172,-0.6117,16.76,3.278e-07,2.161e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
20.0,0.0,0.05272,15.451,-0.81457,-0.8146,15.45,-1.618e-06,-2.442e-06,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
25.0,0.0,0.07392,13.919,-1.0289,-1.029,13.92,-1.911e-07,-2.569e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
30.0,0.0,0.10011,12.26,-1.2274,-1.227,12.26,1.192e-06,-1.696e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
35.0,0.0,0.13115,10.564,-1.3855,-1.385,10.56,-4.514e-07,-1.12e-06,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
40.0,0.0,0.16638,8.9158,-1.4835,-1.483,8.916,1.561e-07,-5.289e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
45.0,0.0,0.20434,7.384,-1.5088,-1.509,7.384,5.707e-07,-2.759e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
50.0,0.0,0.24222,6.0168,-1.4574,-1.457,6.017,-6.2e-07,-5.198e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
55.0,0.0,0.2753,4.8419,-1.333,-1.333,4.842,-2.409e-07,-1.184e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
60.0,0.0,0.29647,3.867,-1.1464,-1.146,3.867,3.422e-08,9.768e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
65.0,0.0,0.29635,3.0834,-0.91374,-0.9137,3.083,4.219e-07,-3.387e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
70.0,0.0,0.26451,2.4706,-0.6535,-0.6535,2.471,1.344e-06,-9.365e-08,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
75.0,0.0,0.19238,2.0014,-0.38504,-0.385,2.001,-1.068e-07,-1.503e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
80.0,0.0,0.07696,1.6459,-0.12667,-0.1267,1.646,2.528e-07,-5.994e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
85.0,0.0,0.07695,1.3753,0.10583,0.1058,1.375,8.352e-08,-1.636e-08,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
90.0,0.0,0.25727,1.1649,0.2997,0.2997,1.165,-8.762e-07,8.613e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
95.0,0.0,0.44815,0.99504,0.44593,0.4459,0.995,-9.08e-08,-5.091e-08,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
100.0,0.0,0.63307,0.8522,0.5395,0.5395,0.8522,-2.223e-07,-3.757e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
105.0,0.0,0.79507,0.72891,0.57953,0.5795,0.7289,-2.59e-07,-1.066e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
110.0,0.0,0.91339,0.62333,0.56934,0.5693,0.6233,1.573e-08,5.848e-09,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
115.0,0.0,0.95912,0.53812,0.51613,0.5161,0.5381,3.057e-08,-9.415e-08,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
120.0,0.0,0.89836,0.47915,0.43045,0.4305,0.4792,2.096e-07,2.302e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
125.0,0.0,0.71679,0.4536,0.32514,0.3251,0.4536,-2.129e-07,3.728e-09,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
130.0,0.0,0.45689,0.46804,0.21384,0.2138,0.468,-2.591e-07,2.336e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
135.0,0.0,0.20769,0.52652,0.10935,0.1094,0.5265,-1.219e-07,4.166e-08,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
140.0,0.0,0.03496,0.62904,0.02199,0.02199,0.629,-9.338e-08,1.139e-07,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
145.0,0.0,0.05408,0.77068,-0.041681,-0.04168,0.7707,-1.149e-07,4.104e-08,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
150.0,0.0,0.08435,0.9416,-0.079427,-0.07943,0.9416,2.588e-07,-8.46e-09,2.8656,0.12223,-0.093399,RCTGLPRSM,2.1592,0.2343,0.6818
