 >TARREC   rectangular prism; AX,AY,AZ= 16.0000 16.0000 16.0000
      4096 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000  -8.50000  -8.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   1   1   1 1 1 1
      2   2   1   1 1 1 1
      3   3   1   1 1 1 1
      4   4   1   1 1 1 1
      5   5   1   1 1 1 1
      6   6   1   1 1 1 1
      7   7   1   1 1 1 1
      8   8   1   1 1 1 1
      9   9   1   1 1 1 1
     10  10   1   1 1 1 1
     11  11   1   1 1 1 1
     12  12   1   1 1 1 1
     13  13   1   1 1 1 1
     14  14   1   1 1 1 1
     15  15   1   1 1 1 1
     16  16   1   1 1 1 1
     17   1   2   1 1 1 1
     18   2   2   1 1 1 1
     19   3   2   1 1 1 1
     20   4   2   1 1 1 1
     21   5   2   1 1 1 1
     22   6   2   1 1 1 1
     23   7   2   1 1 1 1
     24   8   2   1 1 1 1
     25   9   2   1 1 1 1
     26  10   2   1 1 1 1
     27  11   2   1 1 1 1
     28  12   2   1 1 1 1
     29  13   2   1 1 1 1
     30  14   2   1 1 1 1
     31  15   2   1 1 1 1
     32  16   2   1 1 1 1
     33   1   3   1 1 1 1
     34   2   3   1 1 1 1
     35   3   3   1 1 1 1
     36   4   3   1 1 1 1
     37   5   3   1 1 1 1
     38   6   3   1 1 1 1
     39   7   3   1 1 1 1
     40   8   3   1 1 1 1
     41   9   3   1 1 1 1
     42  10   3   1 1 1 1
     43  11   3   1 1 1 1
     44  12   3   1 1 1 1
     45  13   3   1 1 1 1
     46  14   3   1 1 1 1
     47  15   3   1 1 1 1
     48  16   3   1 1 1 1
     49   1   4   1 1 1 1
     50   2   4   1 1 1 1
     51   3   4   1 1 1 1
     52   4   4   1 1 1 1
     53   5   4   1 1 1 1
     54   6   4   1 1 1 1
     55   7   4   1 1 1 1
     56   8   4   1 1 1 1
     57   9   4   1 1 1 1
     58  10   4   1 1 1 1
     59  11   4   1 1 1 1
     60  12   4   1 1 1 1
     61  13   4   1 1 1 1
     62  14   4   1 1 1 1
     63  15   4   1 1 1 1
     64  16   4   1 1 1 1
     65   1   5   1 1 1 1
     66   2   5   1 1 1 1
     67   3   5   1 1 1 1
     68   4   5   1 1 1 1
     69   5   5   1 1 1 1
     70   6   5   1 1 1 1
     71   7   5   1 1 1 1
     72   8   5   1 1 1 1
     73   9   5   1 1 1 1
     74  10   5   1 1 1 1
     75  11   5   1 1 1 1
     76  12   5   1 1 1 1
     77  13   5   1 1 1 1
     78  14   5   1 1 1 1
     79  15   5   1 1 1 1
     80  16   5   1 1 1 1
     81   1   6   1 1 1 1
     82   2   6   1 1 1 1
     83   3   6   1 1 1 1
     84   4   6   1 1 1 1
     85   5   6   1 1 1 1
     86   6   6   1 1 1 1
     87   7   6   1 1 1 1
     88   8   6   1 1 1 1
     89   9   6   1 1 1 1
     90  10   6   1 1 1 1
     91  11   6   1 1 1 1
     92  12   6   1 1 1 1
     93  13   6   1 1 1 1
     94  14   6   1 1 1 1
     95  15   6   1 1 1 1
     96  16   6   1 1 1 1
     97   1   7   1 1 1 1
     98   2   7   1 1 1 1
     99   3   7   1 1 1 1
    100   4   7   1 1 1 1
    101   5   7   1 1 1 1
    102   6   7   1 1 1 1
    103   7   7   1 1 1 1
    104   8   7   1 1 1 1
    105   9   7   1 1 1 1
    106  10   7   1 1 1 1
    107  11   7   1 1 1 1
    108  12   7   1 1 1 1
    109  13   7   1 1 1 1
    110  14   7   1 1 1 1
    111  15   7   1 1 1 1
    112  16   7   1 1 1 1
    113   1   8   1 1 1 1
    114   2   8   1 1 1 1
    115   3   8   1 1 1 1
    116   4   8   1 1 1 1
    117   5   8   1 1 1 1
    118   6   8   1 1 1 1
    119   7   8   1 1 1 1
    120   8   8   1 1 1 1
    121   9   8   1 1 1 1
    122  10   8   1 1 1 1
    123  11   8   1 1 1 1
    124  12   8   1 1 1 1
    125  13   8   1 1 1 1
    126  14   8   1 1 1 1
    127  15   8   1 1 1 1
    128  16   8   1 1 1 1
    129   1   9   1 1 1 1
    130   2   9   1 1 1 1
    131   3   9   1 1 1 1
    132   4   9   1 1 1 1
    133   5   9   1 1 1 1
    134   6   9   1 1 1 1
    135   7   9   1 1 1 1
    136   8   9   1 1 1 1
    137   9   9   1 1 1 1
    138  10   9   1 1 1 1
    139  11   9   1 1 1 1
    140  12   9   1 1 1 1
    141  13   9   1 1 1 1
    142  14   9   1 1 1 1
    143  15   9   1 1 1 1
    144  16   9   1 1 1 1
    145   1  10   1 1 1 1
    146   2  10   1 1 1 1
    147   3  10   1 1 1 1
    148   4  10   1 1 1 1
    149   5  10   1 1 1 1
    150   6  10   1 1 1 1
    151   7  10   1 1 1 1
    152   8  10   1 1 1 1
    153   9  10   1 1 1 1
    154  10  10   1 1 1 1
    155  11  10   1 1 1 1
    156  12  10   1 1 1 1
    157  13  10   1 1 1 1
    158  14  10   1 1 1 1
    159  15  10   1 1 1 1
    160  16  10   1 1 1 1
    161   1  11   1 1 1 1
    162   2  11   1 1 1 1
    163   3  11   1 1 1 1
    164   4  11   1 1 1 1
    165   5  11   1 1 1 1
    166   6  11   1 1 1 1
    167   7  11   1 1 1 1
    168   8  11   1 1 1 1
    169   9  11   1 1 1 1
    170  10  11   1 1 1 1
    171  11  11   1 1 1 1
    172  12  11   1 1 1 1
    173  13  11   1 1 1 1
    174  14  11   1 1 1 1
    175  15  11   1 1 1 1
    176  16  11   1 1 1 1
    177   1  12   1 1 1 1
    178   2  12   1 1 1 1
    179   3  12   1 1 1 1
    180   4  12   1 1 1 1
    181   5  12   1 1 1 1
    182   6  12   1 1 1 1
    183   7  12   1 1 1 1
    184   8  12   1 1 1 1
    185   9  12   1 1 1 1
    186  10  12   1 1 1 1
    187  11  12   1 1 1 1
    188  12  12   1 1 1 1
    189  13  12   1 1 1 1
    190  14  12   1 1 1 1
    191  15  12   1 1 1 1
    192  16  12   1 1 1 1
    193   1  13   1 1 1 1
    194   2  13   1 1 1 1
    195   3  13   1 1 1 1
    196   4  13   1 1 1 1
    197   5  13   1 1 1 1
    198   6  13   1 1 1 1
    199   7  13   1 1 1 1
    200   8  13   1 1 1 1
    201   9  13   1 1 1 1
    202  10  13   1 1 1 1
    203  11  13   1 1 1 1
    204  12  13   1 1 1 1
    205  13  13   1 1 1 1
    206  14  13   1 1 1 1
    207  15  13   1 1 1 1
    208  16  13   1 1 1 1
    209   1  14   1 1 1 1
    210   2  14   1 1 1 1
    211   3  14   1 1 1 1
    212   4  14   1 1 1 1
    213   5  14   1 1 1 1
    214   6  14   1 1 1 1
    215   7  14   1 1 1 1
    216   8  14   1 1 1 1
    217   9  14   1 1 1 1
    218  10  14   1 1 1 1
    219  11  14   1 1 1 1
    220  12  14   1 1 1 1
    221  13  14   1 1 1 1
    222  14  14   1 1 1 1
    223  15  14   1 1 1 1
    224  16  14   1 1 1 1
    225   1  15   1 1 1 1
    226   2  15   1 1 1 1
    227   3  15   1 1 1 1
    228   4  15   1 1 1 1
    229   5  15   1 1 1 1
    230   6  15   1 1 1 1
    231   7  15   1 1 1 1
    232   8  15   1 1 1 1
    233   9  15   1 1 1 1
    234  10  15   1 1 1 1
    235  11  15   1 1 1 1
    236  12  15   1 1 1 1
    237  13  15   1 1 1 1
    238  14  15   1 1 1 1
    239  15  15   1 1 1 1
    240  16  15   1 1 1 1
    241   1  16   1 1 1 1
    242   2  16   1 1 1 1
    243   3  16   1 1 1 1
    244   4  16   1 1 1 1
    245   5  16   1 1 1 1
    246   6  16   1 1 1 1
    247   7  16   1 1 1 1
    248   8  16   1 1 1 1
    249   9  16   1 1 1 1
    250  10  16   1 1 1 1
    251  11  16   1 1 1 1
    252  12  16   1 1 1 1
    253  13  16   1 1 1 1
    254  14  16   1 1 1 1
    255  15  16   1 1 1 1
    256  16  16   1 1 1 1
    257   1   1   2 1 1 1
    258   2   1   2 1 1 1
    259   3   1   2 1 1 1
    260   4   1   2 1 1 1
    261   5   1   2 1 1 1
    262   6   1   2 1 1 1
    263   7   1   2 1 1 1
    264   8   1   2 1 1 1
    265   9   1   2 1 1 1
    266  10   1   2 1 1 1
    267  11   1   2 1 1 1
    268  12   1   2 1 1 1
    269  13   1   2 1 1 1
    270  14   1   2 1 1 1
    271  15   1   2 1 1 1
    272  16   1   2 1 1 1
    273   1   2   2 1 1 1
    274   2   2   2 1 1 1
    275   3   2   2 1 1 1
    276   4   2   2 1 1 1
    277   5   2   2 1 1 1
    278   6   2   2 1 1 1
    279   7   2   2 1 1 1
    280   8   2   2 1 1 1
    281   9   2   2 1 1 1
    282  10   2   2 1 1 1
    283  11   2   2 1 1 1
    284  12   2   2 1 1 1
    285  13   2   2 1 1 1
    286  14   2   2 1 1 1
    287  15   2   2 1 1 1
    288  16   2   2 1 1 1
    289   1   3   2 1 1 1
    290   2   3   2 1 1 1
    291   3   3   2 1 1 1
    292   4   3   2 1 1 1
    293   5   3   2 1 1 1
    294   6   3   2 1 1 1
    295   7   3   2 1 1 1
    296   8   3   2 1 1 1
    297   9   3   2 1 1 1
    298  10   3   2 1 1 1
    299  11   3   2 1 1 1
    300  12   3   2 1 1 1
    301  13   3   2 1 1 1
    302  14   3   2 1 1 1
    303  15   3   2 1 1 1
    304  16   3   2 1 1 1
    305   1   4   2 1 1 1
    306   2   4   2 1 1 1
    307   3   4   2 1 1 1
    308   4   4   2 1 1 1
    309   5   4   2 1 1 1
    310   6   4   2 1 1 1
    311   7   4   2 1 1 1
    312   8   4   2 1 1 1
    313   9   4   2 1 1 1
    314  10   4   2 1 1 1
    315  11   4   2 1 1 1
    316  12   4   2 1 1 1
    317  13   4   2 1 1 1
    318  14   4   2 1 1 1
    319  15   4   2 1 1 1
    320  16   4   2 1 1 1
    321   1   5   2 1 1 1
    322   2   5   2 1 1 1
    323   3   5   2 1 1 1
    324   4   5   2 1 1 1
    325   5   5   2 1 1 1
    326   6   5   2 1 1 1
    327   7   5   2 1 1 1
    328   8   5   2 1 1 1
    329   9   5   2 1 1 1
