 >TARREC   rectangular prism; AX,AY,AZ= 41.9000 10.0000 10.0000
      4200 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -42.50000  -5.50000  -5.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   1   1   1 1 1 1
      2   2   1   1 1 1 1
      3   3   1   1 1 1 1
      4   4   1   1 1 1 1
      5   5   1   1 1 1 1
      6   6   1   1 1 1 1
      7   7   1   1 1 1 1
      8   8   1   1 1 1 1
      9   9   1   1 1 1 1
     10  10   1   1 1 1 1
     11  11   1   1 1 1 1
     12  12   1   1 1 1 1
     13  13   1   1 1 1 1
     14  14   1   1 1 1 1
     15  15   1   1 1 1 1
     16  16   1   1 1 1 1
     17  17   1   1 1 1 1
     18  18   1   1 1 1 1
     19  19   1   1 1 1 1
     20  20   1   1 1 1 1
     21  21   1   1 1 1 1
     22  22   1   1 1 1 1
     23  23   1   1 1 1 1
     24  24   1   1 1 1 1
     25  25   1   1 1 1 1
     26  26   1   1 1 1 1
     27  27   1   1 1 1 1
     28  28   1   1 1 1 1
     29  29   1   1 1 1 1
     30  30   1   1 1 1 1
     31  31   1   1 1 1 1
     32  32   1   1 1 1 1
     33  33   1   1 1 1 1
     34  34   1   1 1 1 1
     35  35   1   1 1 1 1
     36  36   1   1 1 1 1
     37  37   1   1 1 1 1
     38  38   1   1 1 1 1
     39  39   1   1 1 1 1
     40  40   1   1 1 1 1
     41  41   1   1 1 1 1
     42  42   1   1 1 1 1
     43   1   2   1 1 1 1
     44   2   2   1 1 1 1
     45   3   2   1 1 1 1
     46   4   2   1 1 1 1
     47   5   2   1 1 1 1
     48   6   2   1 1 1 1
     49   7   2   1 1 1 1
     50   8   2   1 1 1 1
     51   9   2   1 1 1 1
     52  10   2   1 1 1 1
     53  11   2   1 1 1 1
     54  12   2   1 1 1 1
     55  13   2   1 1 1 1
     56  14   2   1 1 1 1
     57  15   2   1 1 1 1
     58  16   2   1 1 1 1
     59  17   2   1 1 1 1
     60  18   2   1 1 1 1
     61  19   2   1 1 1 1
     62  20   2   1 1 1 1
     63  21   2   1 1 1 1
     64  22   2   1 1 1 1
     65  23   2   1 1 1 1
     66  24   2   1 1 1 1
     67  25   2   1 1 1 1
     68  26   2   1 1 1 1
     69  27   2   1 1 1 1
     70  28   2   1 1 1 1
     71  29   2   1 1 1 1
     72  30   2   1 1 1 1
     73  31   2   1 1 1 1
     74  32   2   1 1 1 1
     75  33   2   1 1 1 1
     76  34   2   1 1 1 1
     77  35   2   1 1 1 1
     78  36   2   1 1 1 1
     79  37   2   1 1 1 1
     80  38   2   1 1 1 1
     81  39   2   1 1 1 1
     82  40   2   1 1 1 1
     83  41   2   1 1 1 1
     84  42   2   1 1 1 1
     85   1   3   1 1 1 1
     86   2   3   1 1 1 1
     87   3   3   1 1 1 1
     88   4   3   1 1 1 1
     89   5   3   1 1 1 1
     90   6   3   1 1 1 1
     91   7   3   1 1 1 1
     92   8   3   1 1 1 1
     93   9   3   1 1 1 1
     94  10   3   1 1 1 1
     95  11   3   1 1 1 1
     96  12   3   1 1 1 1
     97  13   3   1 1 1 1
     98  14   3   1 1 1 1
     99  15   3   1 1 1 1
    100  16   3   1 1 1 1
    101  17   3   1 1 1 1
    102  18   3   1 1 1 1
    103  19   3   1 1 1 1
    104  20   3   1 1 1 1
    105  21   3   1 1 1 1
    106  22   3   1 1 1 1
    107  23   3   1 1 1 1
    108  24   3   1 1 1 1
    109  25   3   1 1 1 1
    110  26   3   1 1 1 1
    111  27   3   1 1 1 1
    112  28   3   1 1 1 1
    113  29   3   1 1 1 1
    114  30   3   1 1 1 1
    115  31   3   1 1 1 1
    116  32   3   1 1 1 1
    117  33   3   1 1 1 1
    118  34   3   1 1 1 1
    119  35   3   1 1 1 1
    120  36   3   1 1 1 1
    121  37   3   1 1 1 1
    122  38   3   1 1 1 1
    123  39   3   1 1 1 1
    124  40   3   1 1 1 1
    125  41   3   1 1 1 1
    126  42   3   1 1 1 1
    127   1   4   1 1 1 1
    128   2   4   1 1 1 1
    129   3   4   1 1 1 1
    130   4   4   1 1 1 1
    131   5   4   1 1 1 1
    132   6   4   1 1 1 1
    133   7   4   1 1 1 1
    134   8   4   1 1 1 1
    135   9   4   1 1 1 1
    136  10   4   1 1 1 1
    137  11   4   1 1 1 1
    138  12   4   1 1 1 1
    139  13   4   1 1 1 1
    140  14   4   1 1 1 1
    141  15   4   1 1 1 1
    142  16   4   1 1 1 1
    143  17   4   1 1 1 1
    144  18   4   1 1 1 1
    145  19   4   1 1 1 1
    146  20   4   1 1 1 1
    147  21   4   1 1 1 1
    148  22   4   1 1 1 1
    149  23   4   1 1 1 1
    150  24   4   1 1 1 1
    151  25   4   1 1 1 1
    152  26   4   1 1 1 1
    153  27   4   1 1 1 1
    154  28   4   1 1 1 1
    155  29   4   1 1 1 1
    156  30   4   1 1 1 1
    157  31   4   1 1 1 1
    158  32   4   1 1 1 1
    159  33   4   1 1 1 1
    160  34   4   1 1 1 1
    161  35   4   1 1 1 1
    162  36   4   1 1 1 1
    163  37   4   1 1 1 1
    164  38   4   1 1 1 1
    165  39   4   1 1 1 1
    166  40   4   1 1 1 1
    167  41   4   1 1 1 1
    168  42   4   1 1 1 1
    169   1   5   1 1 1 1
    170   2   5   1 1 1 1
    171   3   5   1 1 1 1
    172   4   5   1 1 1 1
    173   5   5   1 1 1 1
    174   6   5   1 1 1 1
    175   7   5   1 1 1 1
    176   8   5   1 1 1 1
    177   9   5   1 1 1 1
    178  10   5   1 1 1 1
    179  11   5   1 1 1 1
    180  12   5   1 1 1 1
    181  13   5   1 1 1 1
    182  14   5   1 1 1 1
    183  15   5   1 1 1 1
    184  16   5   1 1 1 1
    185  17   5   1 1 1 1
    186  18   5   1 1 1 1
    187  19   5   1 1 1 1
    188  20   5   1 1 1 1
    189  21   5   1 1 1 1
    190  22   5   1 1 1 1
    191  23   5   1 1 1 1
    192  24   5   1 1 1 1
    193  25   5   1 1 1 1
    194  26   5   1 1 1 1
    195  27   5   1 1 1 1
    196  28   5   1 1 1 1
    197  29   5   1 1 1 1
    198  30   5   1 1 1 1
    199  31   5   1 1 1 1
    200  32   5   1 1 1 1
    201  33   5   1 1 1 1
    202  34   5   1 1 1 1
    203  35   5   1 1 1 1
    204  36   5   1 1 1 1
    205  37   5   1 1 1 1
    206  38   5   1 1 1 1
    207  39   5   1 1 1 1
    208  40   5   1 1 1 1
    209  41   5   1 1 1 1
    210  42   5   1 1 1 1
    211   1   6   1 1 1 1
    212   2   6   1 1 1 1
    213   3   6   1 1 1 1
    214   4   6   1 1 1 1
    215   5   6   1 1 1 1
    216   6   6   1 1 1 1
    217   7   6   1 1 1 1
    218   8   6   1 1 1 1
    219   9   6   1 1 1 1
    220  10   6   1 1 1 1
    221  11   6   1 1 1 1
    222  12   6   1 1 1 1
    223  13   6   1 1 1 1
    224  14   6   1 1 1 1
    225  15   6   1 1 1 1
    226  16   6   1 1 1 1
    227  17   6   1 1 1 1
    228  18   6   1 1 1 1
    229  19   6   1 1 1 1
    230  20   6   1 1 1 1
    231  21   6   1 1 1 1
    232  22   6   1 1 1 1
    233  23   6   1 1 1 1
    234  24   6   1 1 1 1
    235  25   6   1 1 1 1
    236  26   6   1 1 1 1
    237  27   6   1 1 1 1
    238  28   6   1 1 1 1
    239  29   6   1 1 1 1
    240  30   6   1 1 1 1
    241  31   6   1 1 1 1
    242  32   6   1 1 1 1
    243  33   6   1 1 1 1
    244  34   6   1 1 1 1
    245  35   6   1 1 1 1
    246  36   6   1 1 1 1
    247  37   6   1 1 1 1
    248  38   6   1 1 1 1
    249  39   6   1 1 1 1
    250  40   6   1 1 1 1
    251  41   6   1 1 1 1
    252  42   6   1 1 1 1
    253   1   7   1 1 1 1
    254   2   7   1 1 1 1
    255   3   7   1 1 1 1
    256   4   7   1 1 1 1
    257   5   7   1 1 1 1
    258   6   7   1 1 1 1
    259   7   7   1 1 1 1
    260   8   7   1 1 1 1
    261   9   7   1 1 1 1
    262  10   7   1 1 1 1
    263  11   7   1 1 1 1
    264  12   7   1 1 1 1
    265  13   7   1 1 1 1
    266  14   7   1 1 1 1
    267  15   7   1 1 1 1
    268  16   7   1 1 1 1
    269  17   7   1 1 1 1
    270  18   7   1 1 1 1
    271  19   7   1 1 1 1
    272  20   7   1 1 1 1
    273  21   7   1 1 1 1
    274  22   7   1 1 1 1
    275  23   7   1 1 1 1
    276  24   7   1 1 1 1
    277  25   7   1 1 1 1
    278  26   7   1 1 1 1
    279  27   7   1 1 1 1
    280  28   7   1 1 1 1
    281  29   7   1 1 1 1
    282  30   7   1 1 1 1
    283  31   7   1 1 1 1
    284  32   7   1 1 1 1
    285  33   7   1 1 1 1
    286  34   7   1 1 1 1
    287  35   7   1 1 1 1
    288  36   7   1 1 1 1
    289  37   7   1 1 1 1
    290  38   7   1 1 1 1
    291  39   7   1 1 1 1
    292  40   7   1 1 1 1
    293  41   7   1 1 1 1
    294  42   7   1 1 1 1
    295   1   8   1 1 1 1
    296   2   8   1 1 1 1
    297   3   8   1 1 1 1
    298   4   8   1 1 1 1
    299   5   8   1 1 1 1
    300   6   8   1 1 1 1
    301   7   8   1 1 1 1
    302   8   8   1 1 1 1
    303   9   8   1 1 1 1
    304  10   8   1 1 1 1
    305  11   8   1 1 1 1
    306  12   8   1 1 1 1
    307  13   8   1 1 1 1
    308  14   8   1 1 1 1
    309  15   8   1 1 1 1
    310  16   8   1 1 1 1
    311  17   8   1 1 1 1
    312  18   8   1 1 1 1
    313  19   8   1 1 1 1
    314  20   8   1 1 1 1
    315  21   8   1 1 1 1
    316  22   8   1 1 1 1
    317  23   8   1 1 1 1
    318  24   8   1 1 1 1
    319  25   8   1 1 1 1
    320  26   8   1 1 1 1
    321  27   8   1 1 1 1
    322  28   8   1 1 1 1
    323  29   8   1 1 1 1
    324  30   8   1 1 1 1
    325  31   8   1 1 1 1
    326  32   8   1 1 1 1
    327  33   8   1 1 1 1
    328  34   8   1 1 1 1
    329  35   8   1 1 1 1
