 >TARREC   rectangular prism; AX,AY,AZ= 10.0000 10.0000 41.9000
      4200 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -10.50000  -5.50000 -21.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   1   1   1 1 1 1
      2   2   1   1 1 1 1
      3   3   1   1 1 1 1
      4   4   1   1 1 1 1
      5   5   1   1 1 1 1
      6   6   1   1 1 1 1
      7   7   1   1 1 1 1
      8   8   1   1 1 1 1
      9   9   1   1 1 1 1
     10  10   1   1 1 1 1
     11   1   2   1 1 1 1
     12   2   2   1 1 1 1
     13   3   2   1 1 1 1
     14   4   2   1 1 1 1
     15   5   2   1 1 1 1
     16   6   2   1 1 1 1
     17   7   2   1 1 1 1
     18   8   2   1 1 1 1
     19   9   2   1 1 1 1
     20  10   2   1 1 1 1
     21   1   3   1 1 1 1
     22   2   3   1 1 1 1
     23   3   3   1 1 1 1
     24   4   3   1 1 1 1
     25   5   3   1 1 1 1
     26   6   3   1 1 1 1
     27   7   3   1 1 1 1
     28   8   3   1 1 1 1
     29   9   3   1 1 1 1
     30  10   3   1 1 1 1
     31   1   4   1 1 1 1
     32   2   4   1 1 1 1
     33   3   4   1 1 1 1
     34   4   4   1 1 1 1
     35   5   4   1 1 1 1
     36   6   4   1 1 1 1
     37   7   4   1 1 1 1
     38   8   4   1 1 1 1
     39   9   4   1 1 1 1
     40  10   4   1 1 1 1
     41   1   5   1 1 1 1
     42   2   5   1 1 1 1
     43   3   5   1 1 1 1
     44   4   5   1 1 1 1
     45   5   5   1 1 1 1
     46   6   5   1 1 1 1
     47   7   5   1 1 1 1
     48   8   5   1 1 1 1
     49   9   5   1 1 1 1
     50  10   5   1 1 1 1
     51   1   6   1 1 1 1
     52   2   6   1 1 1 1
     53   3   6   1 1 1 1
     54   4   6   1 1 1 1
     55   5   6   1 1 1 1
     56   6   6   1 1 1 1
     57   7   6   1 1 1 1
     58   8   6   1 1 1 1
     59   9   6   1 1 1 1
     60  10   6   1 1 1 1
     61   1   7   1 1 1 1
     62   2   7   1 1 1 1
     63   3   7   1 1 1 1
     64   4   7   1 1 1 1
     65   5   7   1 1 1 1
     66   6   7   1 1 1 1
     67   7   7   1 1 1 1
     68   8   7   1 1 1 1
     69   9   7   1 1 1 1
     70  10   7   1 1 1 1
     71   1   8   1 1 1 1
     72   2   8   1 1 1 1
     73   3   8   1 1 1 1
     74   4   8   1 1 1 1
     75   5   8   1 1 1 1
     76   6   8   1 1 1 1
     77   7   8   1 1 1 1
     78   8   8   1 1 1 1
     79   9   8   1 1 1 1
     80  10   8   1 1 1 1
     81   1   9   1 1 1 1
     82   2   9   1 1 1 1
     83   3   9   1 1 1 1
     84   4   9   1 1 1 1
     85   5   9   1 1 1 1
     86   6   9   1 1 1 1
     87   7   9   1 1 1 1
     88   8   9   1 1 1 1
     89   9   9   1 1 1 1
     90  10   9   1 1 1 1
     91   1  10   1 1 1 1
     92   2  10   1 1 1 1
     93   3  10   1 1 1 1
     94   4  10   1 1 1 1
     95   5  10   1 1 1 1
     96   6  10   1 1 1 1
     97   7  10   1 1 1 1
     98   8  10   1 1 1 1
     99   9  10   1 1 1 1
    100  10  10   1 1 1 1
    101   1   1   2 1 1 1
    102   2   1   2 1 1 1
    103   3   1   2 1 1 1
    104   4   1   2 1 1 1
    105   5   1   2 1 1 1
    106   6   1   2 1 1 1
    107   7   1   2 1 1 1
    108   8   1   2 1 1 1
    109   9   1   2 1 1 1
    110  10   1   2 1 1 1
    111   1   2   2 1 1 1
    112   2   2   2 1 1 1
    113   3   2   2 1 1 1
    114   4   2   2 1 1 1
    115   5   2   2 1 1 1
    116   6   2   2 1 1 1
    117   7   2   2 1 1 1
    118   8   2   2 1 1 1
    119   9   2   2 1 1 1
    120  10   2   2 1 1 1
    121   1   3   2 1 1 1
    122   2   3   2 1 1 1
    123   3   3   2 1 1 1
    124   4   3   2 1 1 1
    125   5   3   2 1 1 1
    126   6   3   2 1 1 1
    127   7   3   2 1 1 1
    128   8   3   2 1 1 1
    129   9   3   2 1 1 1
    130  10   3   2 1 1 1
    131   1   4   2 1 1 1
    132   2   4   2 1 1 1
    133   3   4   2 1 1 1
    134   4   4   2 1 1 1
    135   5   4   2 1 1 1
    136   6   4   2 1 1 1
    137   7   4   2 1 1 1
    138   8   4   2 1 1 1
    139   9   4   2 1 1 1
    140  10   4   2 1 1 1
    141   1   5   2 1 1 1
    142   2   5   2 1 1 1
    143   3   5   2 1 1 1
    144   4   5   2 1 1 1
    145   5   5   2 1 1 1
    146   6   5   2 1 1 1
    147   7   5   2 1 1 1
    148   8   5   2 1 1 1
    149   9   5   2 1 1 1
    150  10   5   2 1 1 1
    151   1   6   2 1 1 1
    152   2   6   2 1 1 1
    153   3   6   2 1 1 1
    154   4   6   2 1 1 1
    155   5   6   2 1 1 1
    156   6   6   2 1 1 1
    157   7   6   2 1 1 1
    158   8   6   2 1 1 1
    159   9   6   2 1 1 1
    160  10   6   2 1 1 1
    161   1   7   2 1 1 1
    162   2   7   2 1 1 1
    163   3   7   2 1 1 1
    164   4   7   2 1 1 1
    165   5   7   2 1 1 1
    166   6   7   2 1 1 1
    167   7   7   2 1 1 1
    168   8   7   2 1 1 1
    169   9   7   2 1 1 1
    170  10   7   2 1 1 1
    171   1   8   2 1 1 1
    172   2   8   2 1 1 1
    173   3   8   2 1 1 1
    174   4   8   2 1 1 1
    175   5   8   2 1 1 1
    176   6   8   2 1 1 1
    177   7   8   2 1 1 1
    178   8   8   2 1 1 1
    179   9   8   2 1 1 1
    180  10   8   2 1 1 1
    181   1   9   2 1 1 1
    182   2   9   2 1 1 1
    183   3   9   2 1 1 1
    184   4   9   2 1 1 1
    185   5   9   2 1 1 1
    186   6   9   2 1 1 1
    187   7   9   2 1 1 1
    188   8   9   2 1 1 1
    189   9   9   2 1 1 1
    190  10   9   2 1 1 1
    191   1  10   2 1 1 1
    192   2  10   2 1 1 1
    193   3  10   2 1 1 1
    194   4  10   2 1 1 1
    195   5  10   2 1 1 1
    196   6  10   2 1 1 1
    197   7  10   2 1 1 1
    198   8  10   2 1 1 1
    199   9  10   2 1 1 1
    200  10  10   2 1 1 1
    201   1   1   3 1 1 1
    202   2   1   3 1 1 1
    203   3   1   3 1 1 1
    204   4   1   3 1 1 1
    205   5   1   3 1 1 1
    206   6   1   3 1 1 1
    207   7   1   3 1 1 1
    208   8   1   3 1 1 1
    209   9   1   3 1 1 1
    210  10   1   3 1 1 1
    211   1   2   3 1 1 1
    212   2   2   3 1 1 1
    213   3   2   3 1 1 1
    214   4   2   3 1 1 1
    215   5   2   3 1 1 1
    216   6   2   3 1 1 1
    217   7   2   3 1 1 1
    218   8   2   3 1 1 1
    219   9   2   3 1 1 1
    220  10   2   3 1 1 1
    221   1   3   3 1 1 1
    222   2   3   3 1 1 1
    223   3   3   3 1 1 1
    224   4   3   3 1 1 1
    225   5   3   3 1 1 1
    226   6   3   3 1 1 1
    227   7   3   3 1 1 1
    228   8   3   3 1 1 1
    229   9   3   3 1 1 1
    230  10   3   3 1 1 1
    231   1   4   3 1 1 1
    232   2   4   3 1 1 1
    233   3   4   3 1 1 1
    234   4   4   3 1 1 1
    235   5   4   3 1 1 1
    236   6   4   3 1 1 1
    237   7   4   3 1 1 1
    238   8   4   3 1 1 1
    239   9   4   3 1 1 1
    240  10   4   3 1 1 1
    241   1   5   3 1 1 1
    242   2   5   3 1 1 1
    243   3   5   3 1 1 1
    244   4   5   3 1 1 1
    245   5   5   3 1 1 1
    246   6   5   3 1 1 1
    247   7   5   3 1 1 1
    248   8   5   3 1 1 1
    249   9   5   3 1 1 1
    250  10   5   3 1 1 1
    251   1   6   3 1 1 1
    252   2   6   3 1 1 1
    253   3   6   3 1 1 1
    254   4   6   3 1 1 1
    255   5   6   3 1 1 1
    256   6   6   3 1 1 1
    257   7   6   3 1 1 1
    258   8   6   3 1 1 1
    259   9   6   3 1 1 1
    260  10   6   3 1 1 1
    261   1   7   3 1 1 1
    262   2   7   3 1 1 1
    263   3   7   3 1 1 1
    264   4   7   3 1 1 1
    265   5   7   3 1 1 1
    266   6   7   3 1 1 1
    267   7   7   3 1 1 1
    268   8   7   3 1 1 1
    269   9   7   3 1 1 1
    270  10   7   3 1 1 1
    271   1   8   3 1 1 1
    272   2   8   3 1 1 1
    273   3   8   3 1 1 1
    274   4   8   3 1 1 1
    275   5   8   3 1 1 1
    276   6   8   3 1 1 1
    277   7   8   3 1 1 1
    278   8   8   3 1 1 1
    279   9   8   3 1 1 1
    280  10   8   3 1 1 1
    281   1   9   3 1 1 1
    282   2   9   3 1 1 1
    283   3   9   3 1 1 1
    284   4   9   3 1 1 1
    285   5   9   3 1 1 1
    286   6   9   3 1 1 1
    287   7   9   3 1 1 1
    288   8   9   3 1 1 1
    289   9   9   3 1 1 1
    290  10   9   3 1 1 1
    291   1  10   3 1 1 1
    292   2  10   3 1 1 1
    293   3  10   3 1 1 1
    294   4  10   3 1 1 1
    295   5  10   3 1 1 1
    296   6  10   3 1 1 1
    297   7  10   3 1 1 1
    298   8  10   3 1 1 1
    299   9  10   3 1 1 1
    300  10  10   3 1 1 1
    301   1   1   4 1 1 1
    302   2   1   4 1 1 1
    303   3   1   4 1 1 1
    304   4   1   4 1 1 1
    305   5   1   4 1 1 1
    306   6   1   4 1 1 1
    307   7   1   4 1 1 1
    308   8   1   4 1 1 1
    309   9   1   4 1 1 1
    310  10   1   4 1 1 1
    311   1   2   4 1 1 1
    312   2   2   4 1 1 1
    313   3   2   4 1 1 1
    314   4   2   4 1 1 1
    315   5   2   4 1 1 1
    316   6   2   4 1 1 1
    317   7   2   4 1 1 1
    318   8   2   4 1 1 1
    319   9   2   4 1 1 1
    320  10   2   4 1 1 1
    321   1   3   4 1 1 1
    322   2   3   4 1 1 1
    323   3   3   4 1 1 1
    324   4   3   4 1 1 1
    325   5   3   4 1 1 1
    326   6   3   4 1 1 1
    327   7   3   4 1 1 1
    328   8   3   4 1 1 1
    329   9   3   4 1 1 1
    330  10   3   4 1 1 1
    331   1   4   4 1 1 1
    332   2   4   4 1 1 1
    333   3   4   4 1 1 1
    334   4   4   4 1 1 1
    335   5   4   4 1 1 1
    336   6   4   4 1 1 1
    337   7   4   4 1 1 1
    338   8   4   4 1 1 1
    339   9   4   4 1 1 1
    340  10   4   4 1 1 1
    341   1   5   4 1 1 1
    342   2   5   4 1 1 1
    343   3   5   4 1 1 1
    344   4   5   4 1 1 1
    345   5   5   4 1 1 1
    346   6   5   4 1 1 1
    347   7   5   4 1 1 1
    348   8   5   4 1 1 1
    349   9   5   4 1 1 1
    350  10   5   4 1 1 1
    351   1   6   4 1 1 1
    352   2   6   4 1 1 1
    353   3   6   4 1 1 1
    354   4   6   4 1 1 1
    355   5   6   4 1 1 1
    356   6   6   4 1 1 1
