 >TARELL  ellipsoidal grain; AX,AY,AZ= 20.0000 20.0000 20.0000
      4224 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.50000   0.50000   0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   -2   -3  -10 1 1 1
      2   -1   -3  -10 1 1 1
      3    0   -3  -10 1 1 1
      4    1   -3  -10 1 1 1
      5   -3   -2  -10 1 1 1
      6   -2   -2  -10 1 1 1
      7   -1   -2  -10 1 1 1
      8    0   -2  -10 1 1 1
      9    1   -2  -10 1 1 1
     10    2   -2  -10 1 1 1
     11   -3   -1  -10 1 1 1
     12   -2   -1  -10 1 1 1
     13   -1   -1  -10 1 1 1
     14    0   -1  -10 1 1 1
     15    1   -1  -10 1 1 1
     16    2   -1  -10 1 1 1
     17   -3    0  -10 1 1 1
     18   -2    0  -10 1 1 1
     19   -1    0  -10 1 1 1
     20    0    0  -10 1 1 1
     21    1    0  -10 1 1 1
     22    2    0  -10 1 1 1
     23   -3    1  -10 1 1 1
     24   -2    1  -10 1 1 1
     25   -1    1  -10 1 1 1
     26    0    1  -10 1 1 1
     27    1    1  -10 1 1 1
     28    2    1  -10 1 1 1
     29   -2    2  -10 1 1 1
     30   -1    2  -10 1 1 1
     31    0    2  -10 1 1 1
     32    1    2  -10 1 1 1
     33   -3   -5   -9 1 1 1
     34   -2   -5   -9 1 1 1
     35   -1   -5   -9 1 1 1
     36    0   -5   -9 1 1 1
     37    1   -5   -9 1 1 1
     38    2   -5   -9 1 1 1
     39   -4   -4   -9 1 1 1
     40   -3   -4   -9 1 1 1
     41   -2   -4   -9 1 1 1
     42   -1   -4   -9 1 1 1
     43    0   -4   -9 1 1 1
     44    1   -4   -9 1 1 1
     45    2   -4   -9 1 1 1
     46    3   -4   -9 1 1 1
     47   -5   -3   -9 1 1 1
     48   -4   -3   -9 1 1 1
     49   -3   -3   -9 1 1 1
     50   -2   -3   -9 1 1 1
     51   -1   -3   -9 1 1 1
     52    0   -3   -9 1 1 1
     53    1   -3   -9 1 1 1
     54    2   -3   -9 1 1 1
     55    3   -3   -9 1 1 1
     56    4   -3   -9 1 1 1
     57   -5   -2   -9 1 1 1
     58   -4   -2   -9 1 1 1
     59   -3   -2   -9 1 1 1
     60   -2   -2   -9 1 1 1
     61   -1   -2   -9 1 1 1
     62    0   -2   -9 1 1 1
     63    1   -2   -9 1 1 1
     64    2   -2   -9 1 1 1
     65    3   -2   -9 1 1 1
     66    4   -2   -9 1 1 1
     67   -5   -1   -9 1 1 1
     68   -4   -1   -9 1 1 1
     69   -3   -1   -9 1 1 1
     70   -2   -1   -9 1 1 1
     71   -1   -1   -9 1 1 1
     72    0   -1   -9 1 1 1
     73    1   -1   -9 1 1 1
     74    2   -1   -9 1 1 1
     75    3   -1   -9 1 1 1
     76    4   -1   -9 1 1 1
     77   -5    0   -9 1 1 1
     78   -4    0   -9 1 1 1
     79   -3    0   -9 1 1 1
     80   -2    0   -9 1 1 1
     81   -1    0   -9 1 1 1
     82    0    0   -9 1 1 1
     83    1    0   -9 1 1 1
     84    2    0   -9 1 1 1
     85    3    0   -9 1 1 1
     86    4    0   -9 1 1 1
     87   -5    1   -9 1 1 1
     88   -4    1   -9 1 1 1
     89   -3    1   -9 1 1 1
     90   -2    1   -9 1 1 1
     91   -1    1   -9 1 1 1
     92    0    1   -9 1 1 1
     93    1    1   -9 1 1 1
     94    2    1   -9 1 1 1
     95    3    1   -9 1 1 1
     96    4    1   -9 1 1 1
     97   -5    2   -9 1 1 1
     98   -4    2   -9 1 1 1
     99   -3    2   -9 1 1 1
    100   -2    2   -9 1 1 1
    101   -1    2   -9 1 1 1
    102    0    2   -9 1 1 1
    103    1    2   -9 1 1 1
    104    2    2   -9 1 1 1
    105    3    2   -9 1 1 1
    106    4    2   -9 1 1 1
    107   -4    3   -9 1 1 1
    108   -3    3   -9 1 1 1
    109   -2    3   -9 1 1 1
    110   -1    3   -9 1 1 1
    111    0    3   -9 1 1 1
    112    1    3   -9 1 1 1
    113    2    3   -9 1 1 1
    114    3    3   -9 1 1 1
    115   -3    4   -9 1 1 1
    116   -2    4   -9 1 1 1
    117   -1    4   -9 1 1 1
    118    0    4   -9 1 1 1
    119    1    4   -9 1 1 1
    120    2    4   -9 1 1 1
